 20	  92	  true	  true
  0	  33
  1	  24
  2	  15
  3	  14
  4	  34
  5	  79
  6	  24
  7	  65
  8	   4
  9	  92
 10	  24
 11	  62
 12	  38
 13	  38
 14	  13
 15	  78
 16	  90
 17	  13
 18	   6
 19	  49
  0	  17	   44
  0	  19	   88
  1	   2	   32
  1	  11	   14
  1	  17	   92
  1	  19	   74
  2	   4	    5
  2	  12	   28
  2	  13	   41
  2	  16	    4
  3	  14	   25
  3	  16	   86
  4	   0	   58
  4	   2	   46
  4	   8	   63
  4	  11	   77
  4	  12	   28
  5	   0	   89
  5	   6	   41
  5	   8	   21
  5	   9	   57
  5	  10	   35
  5	  12	   67
  5	  13	    5
  5	  17	   81
  5	  19	   90
  6	   8	   73
  6	  13	   18
  6	  17	   57
  7	   1	   30
  7	   6	   59
  7	  12	   54
  8	   1	    0
  8	   3	   96
  8	   7	   39
  8	  18	   76
  9	   2	   24
  9	   6	   53
  9	  18	   72
 10	   1	   19
 10	   3	   17
 10	   7	    0
 10	   8	   88
 10	   9	   41
 10	  13	   97
 10	  17	   84
 10	  19	   21
 11	   2	   83
 11	   3	   47
 11	   5	   58
 11	  19	   95
 12	   0	   54
 12	   2	   42
 12	   4	   28
 12	   6	   16
 12	   7	   41
 13	   2	   59
 13	  10	   93
 13	  12	   10
 13	  14	   18
 13	  18	   45
 14	   2	   98
 14	  11	    9
 14	  12	   98
 14	  19	   66
 15	   0	   49
 15	   3	   73
 15	  11	   95
 15	  18	   38
 16	   1	   98
 16	   2	   39
 16	   6	   53
 16	   7	   39
 16	  12	   66
 16	  13	   83
 16	  14	   31
 16	  17	   96
 17	   2	   66
 17	   3	    0
 17	   4	   78
 17	   6	   96
 17	  10	   99
 17	  12	   37
 17	  19	   32
 18	   0	   67
 18	   6	   71
 18	  11	   59
 18	  19	    0
 19	   2	   62
 19	   9	   29
 19	  14	   37
 19	  18	   71
